case,dice_Liver,iou_Liver,precision_Liver,recall_Liver,vol_diff_Liver,dice_Tumor,iou_Tumor,precision_Tumor,recall_Tumor,vol_diff_Tumor
case_100.h5,0.6580613851547241,0.4903811514377594,0.6283150315284729,0.690764307975769,0.09939175358492826,6.370688481957543e-13,6.370688481957543e-13,1.0,6.370688481957543e-13,0.999999999999363
case_101.h5,0.6053573489189148,0.4340590834617615,0.5985963344573975,0.6122727990150452,0.022847631083167258,2.6424337978142587e-12,2.6424337978142587e-12,1.0,2.6424337978142587e-12,0.9999999999973576
case_102.h5,0.6143872737884521,0.44340476393699646,0.5764970183372498,0.6576086282730103,0.14069746213591294,2.0940653724932368e-11,2.0940653724932368e-11,1.0,2.0940653724932368e-11,0.9999999999790593
case_103.h5,0.4685887098312378,0.30598488450050354,0.6290876865386963,0.37333884835243225,0.4065392676527226,1.3194874880217977e-11,1.3194874880217977e-11,1.0,1.3194874880217977e-11,0.9999999999868052
case_104.h5,0.23972705006599426,0.13618743419647217,0.5303729176521301,0.1548621505498886,0.7080127048657239,3.624265167492813e-12,3.624265167492813e-12,1.0,3.624265167492813e-12,0.9999999999963757
case_105.h5,0.5836987495422363,0.4121289551258087,0.7191921472549438,0.4911649525165558,0.31706016705756324,1.0,1.0,1.0,1.0,0.0
case_106.h5,0.5654367804527283,0.39415255188941956,0.950420081615448,0.4024270474910736,0.5765798259723838,1.0,1.0,1.0,1.0,0.0
case_107.h5,0.4197461009025574,0.2656193971633911,0.7630994915962219,0.28949087858200073,0.6206381028862188,1.6798253066330204e-10,1.6798253066330204e-10,1.0,1.6798253066330204e-10,0.9999999998320174
case_108.h5,0.2035481482744217,0.11330565810203552,0.2944050133228302,0.15554510056972504,0.4716628261047087,6.872696313962867e-13,6.872696313962867e-13,1.0,6.872696313962867e-13,0.9999999999993128
case_109.h5,0.5651416182518005,0.39386576414108276,0.8025992512702942,0.4361128807067871,0.45662436455479055,1.3732113536557566e-11,1.3732113536557566e-11,1.0,1.3732113536557566e-11,0.999999999986268
case_110.h5,0.6912558674812317,0.5281825661659241,0.9467718601226807,0.544346809387207,0.4250496232377093,8.038197711612849e-12,8.038197711612849e-12,1.0,8.038197711612849e-12,0.9999999999919619
case_111.h5,0.522330105304718,0.35348230600357056,0.6177209615707397,0.4524596035480499,0.26753396456578304,1.3698629730551914e-10,1.3698629730551914e-10,1.0,1.3698629730551914e-10,0.9999999998630137
case_112.h5,0.5332517623901367,0.3635605573654175,0.9203212857246399,0.375375896692276,0.5921251672087705,8.467400669509573e-10,8.467400669509573e-10,1.0,8.467400669509573e-10,0.9999999991532599
case_113.h5,0.5327969193458557,0.363137811422348,0.7937667965888977,0.4009688198566437,0.4948531161575894,1.1866618798705986e-11,1.1866618798705986e-11,1.0,1.1866618798705986e-11,0.9999999999881335
case_114.h5,0.5709007978439331,0.39948296546936035,0.8944220542907715,0.4192529022693634,0.5312583025129983,1.0,1.0,1.0,1.0,0.0
case_115.h5,0.3582614064216614,0.21822074055671692,0.9119573831558228,0.22291705012321472,0.755561988180528,1.0,1.0,1.0,1.0,0.0
case_116.h5,0.5448985695838928,0.3744746446609497,0.6190680265426636,0.4865999221801758,0.21397991987891052,1.6363077342748666e-12,1.6363077342748666e-12,1.0,1.6363077342748666e-12,0.9999999999983636
case_117.h5,0.3605386018753052,0.2199128270149231,0.9026135206222534,0.22525757551193237,0.75043850559171,9.670319016039097e-13,9.670319016039097e-13,1.0,9.670319016039097e-13,0.999999999999033
case_118.h5,0.5218492150306702,0.35304194688796997,0.5443995594978333,0.5010927319526672,0.07954971594226286,2.3859571002954327e-12,2.3859571002954327e-12,1.0,2.3859571002954327e-12,0.999999999997614
case_119.h5,0.6185875535011292,0.44779354333877563,0.788116455078125,0.5090810060501099,0.354053570792853,1.0,1.0,1.0,1.0,0.0
case_120.h5,0.2537578046321869,0.14531651139259338,0.585877001285553,0.16195151209831238,0.7235742221241127,1.911680397315152e-10,1.911680397315152e-10,1.0,1.911680397315152e-10,0.9999999998088319
case_121.h5,0.6052930355072021,0.43399301171302795,0.7587692737579346,0.503458559513092,0.3364800650720457,4.710315471001536e-10,4.710315471001536e-10,1.0,4.710315471001536e-10,0.9999999995289685
case_122.h5,0.5293763875961304,0.35996726155281067,0.7989692091941833,0.3958173394203186,0.5045899980959001,1.2530857428083575e-11,1.2530857428083575e-11,1.0,1.2530857428083575e-11,0.9999999999874692
case_123.h5,0.5899233222007751,0.4183625876903534,0.7429487109184265,0.48916900157928467,0.34158445032247126,4.38114171677495e-12,4.38114171677495e-12,1.0,4.38114171677495e-12,0.9999999999956188
case_124.h5,0.4802008867263794,0.31596338748931885,0.7137385606765747,0.36181408166885376,0.49307198449011475,1.3871164633583177e-11,1.3871164633583177e-11,1.0,1.3871164633583177e-11,0.999999999986129
case_125.h5,0.5859532356262207,0.41438037157058716,0.8286998271942139,0.4531998336315155,0.4531194238905835,1.3262599907193362e-09,1.3262599907193362e-09,1.0,1.3262599907193362e-09,0.99999999867374
case_126.h5,0.3590182363986969,0.21878258883953094,0.6449205279350281,0.24874576926231384,0.6143001192639642,1.964636509033113e-10,1.964636509033113e-10,1.0,1.964636509033113e-10,0.9999999998035363
case_127.h5,0.7153221368789673,0.5568104982376099,0.8346498012542725,0.6258465051651001,0.2501687046597606,3.355704603080767e-09,3.355704603080767e-09,1.0,3.355704603080767e-09,0.9999999966442953
case_128.h5,0.6480242609977722,0.47931647300720215,0.6293060779571533,0.6678900718688965,0.06131201268169029,3.0622900049070978e-12,3.0622900049070978e-12,1.0,3.0622900049070978e-12,0.9999999999969377
case_129.h5,0.6687504053115845,0.5023478269577026,0.7637815475463867,0.5947504043579102,0.22130820035545307,5.236191254892608e-13,5.236191254892608e-13,1.0,5.236191254892608e-13,0.9999999999994764
case_130.h5,0.6775274276733398,0.5123186707496643,0.9419587850570679,0.5290186405181885,0.4383845035099919,7.227041773187615e-13,7.227041773187615e-13,1.0,7.227041773187615e-13,0.9999999999992772
